id	parent_component_id	type_id	title	description	template_type_id	creator_id	component_picture_url	background_color	created_at	updated_at	level_id	privacy_id	order	status
43	NULL	11	"Cooking, Grilling, Braaing "	"I have mastered making pork ribs and steak on the grill. Moreover, cooking a meal for my wife"	7001	2	2088.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
44	NULL	101	"Web Design & Development (tools to use, advice, introduction)"	"From scratch, what tools to use"	7001	2	500009.png		0000-00-00 00:00:00	0000-00-00 00:00:00	13	10001	1	0
45	NULL	11	Improving Excel skills. Advanced features 	How I can use and integrate it to help in my data science field of study.	7001	2	2084.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
46	3	11	Handling a job Interview	Sometimes gets nervous for no reason. Then not selling my skills correctly.	7001	2	interview.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
47	24	101	Organizing your kitchen area	Have your kitchen in order. The kitchen gets used more often than most other areas.	7001	3	500006.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
48	NULL	11	Web Designing	"Web Designing using simpe tools. i.e. MS Word, MS Powerpoint, MS Visio."	7001	2	2090.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
49	NULL	11	Tell a Story that Captivates People's Attention	"Everyone has a cool story to tell, but have to work on the delivery and right audience."	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
50	NULL	11	Teamwork	I think I have gained some experience of being a good teammate. Open to new ideas from another teammate is the best thing of how to learn. But I want to continue improving this skill	7001	2	2085.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
51	NULL	11	Games - Chess	"I am not a grandmaster, but for now I am comfortable where I stand. "	7001	2	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
52	NULL	21002	Body Language	A subject when starting a conversation	7001	2	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
53	NULL	21002	Remembering names	When starting a conversation	7001	5	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	29	10001	1	0
54	NULL	11	"Ms Powerpoint: designing icons, greeting cards and creative Powerpoints"	"To some, Photoshop is a default program to go when designing, but if you know deep MS PowerPoint features, you can  d wonderful things design. I have gained a huge amount of designing experience using MS PowerPoint and would like to share my random skills I have used in PowerPoint. Note, almost all the default customised pictures and icons in this application were made using MS PowerPoint."	7001	2	2083.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
55	NULL	11	Advising People	Want to improve on how I communicate with others. Not to overwhelm them when giving them advice.	7001	2	2087.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
56	NULL	11	Speaking Clearly	Improve how I speak English. Having more American accent might be desirable. Speaking clearly slowly and audible. Sometimes people have some hard times understanding me.	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
57	NULL	101	Bread Making	What can you make with your new bread making machine	7001	7	500000.png		0000-00-00 00:00:00	0000-00-00 00:00:00	13	10001	1	0
58	24	101	Organizing your living room area		7001	5	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
59	24	101	Organizing your bedroom area		7001	7	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
60	24	101	Organizing the bathroom area	"""Can I use your bathroom real quick"" Are you prepared for people to see your bathroom"	7001	3	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
61	24	101	Organizing the kitchen area	Have your kitchen in order. The kitchen gets used more often than most other areas.	7001	7	500002.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
62	NULL	11	Learn a new language		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10002	1	0
63	NULL	11	English pronunciation		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10002	1	0
64	NULL	11	Games - Boggle	It is an intersting game to learn because it will improve my vocabulary.	7001	2	2089.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
65	NULL	11	Adventurous	Being creative when going out whether with friends and family or on dates. 	7001	2	adventurous.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
66	NULL	11	parallel park		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
67	NULL	11	"enterprising: strong interest, great eagerness."		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
68	NULL	11	florist		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
69	NULL	11	working knowledge of visual basic		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
70	NULL	11	real estate agency principal		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
71	NULL	12	Cook a Traditional Dish From a Different Culture		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
72	NULL	12	Color My Hair Blue		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
73	NULL	13	Photography		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
74	NULL	11	"persevering: steadfast pursuit to an aim, refusal to give up; continued effort."		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
75	NULL	11	defining problems		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
76	NULL	12	Hike in Gros Morne National Park		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
77	NULL	12	Create a Travel Journal		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
78	NULL	12	Attend a Gay Pride Event		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
79	NULL	12	Learn to play the violin		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
80	NULL	12	Become Ambidextrous		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
81	NULL	12	Build Affordable Green Communities		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
82	NULL	11	settle disagreements		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
83	NULL	11	foreign languages		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
84	NULL	12	Carnival of Rio De Janeiro		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
85	NULL	11	maintaining schedules or times		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
86	NULL	12	Visit the Wizarding World of Harry Potter		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
87	NULL	12	Dine in the Eiffel Tower		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
88	NULL	12	Learn to play the guitar		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
89	NULL	12	Do a Cleanse		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
90	NULL	11	other spatial scientist		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
91	NULL	12	Renew Our Vows in a Tropical Setting (Dressed in All White)		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
92	NULL	102	Get one big success at an early age. It will help build your confidence for bigger things.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
93	NULL	12	Bike on the Beach		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
94	NULL	102	Find your voice.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
95	NULL	12	Down Hill Biking		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
96	NULL	11	futures trader		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
97	NULL	11	table tennis		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
98	NULL	11	curiosity		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
99	NULL	11	magic		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
100	NULL	12	Cross in to Canada By Boat.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
101	NULL	12	Hike Mason Dixon Trail		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
102	NULL	12	Ride in a Dune Buggy		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
103	NULL	11	technical cable jointer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
104	NULL	12	Dance on a Bar		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
105	NULL	12	Be a contestant on Survivor		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
106	NULL	12	Become a World Renowned Artist		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
107	NULL	11	speech pathologist		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
108	NULL	11	quick learning skills		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
109	NULL	11	meeting people		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
110	NULL	12	Lose 100 pounds		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
111	NULL	12	Drink At the Guinness Brewery in Ireland		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
112	NULL	12	Eliminate My Higher in terest Student Loan Debt		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
113	NULL	104	To forget the mistakes of the past and press on to greater achievements of the future.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
114	NULL	11	reliable		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
115	NULL	13	Eating out		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
116	NULL	12	Get a Professional Body Massage		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
117	NULL	11	help others		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
118	NULL	12	Decide on My Biggest Goal This Year		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
119	NULL	13	Hairstyling		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
120	NULL	102	Don't look at the calendar. Just keep celebrating every day.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
121	NULL	11	goat farmer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
122	NULL	12	Read Five Books At the Same Time As My Wife and Discuss Them With Her		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
123	62	11	Learn French		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
124	NULL	13	Go to free community events		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
125	NULL	12	Drive 200+ Kph on the German Autobahn		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
126	NULL	11	making decisions		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
127	NULL	11	gardener (general)		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
128	NULL	12	Compete in an Archery Tournament		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
129	NULL	11	resolving conflicts		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
130	NULL	13	Pottery		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
131	NULL	13	Tie dyeing		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
132	NULL	12	Attend a Beach Bonfire		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
133	NULL	13	Fashion		7002	1	fashion.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
134	NULL	11	wool classer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
135	NULL	12	Complete a Novel		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
136	NULL	13	Collecting Butterflies/Insects		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
137	NULL	11	supervising clients		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
138	NULL	12	Hire my first intern		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
139	NULL	12	Ride in a Gondola in Venice in Italy		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
140	NULL	13	Rocks & minerals		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
141	NULL	11	ict security specialist		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
142	NULL	13	Flower arranging		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
143	NULL	12	Acquire a company		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
144	NULL	13	Board sports		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
145	NULL	11	building additions		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
146	NULL	12	Celebrate My Birthday in Another Country		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
147	NULL	13	Flying		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
148	NULL	13	Learn an instrument		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
149	NULL	12	Float in the Dead Sea		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
150	NULL	11	repelling 		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
151	NULL	13	Home movies		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
152	NULL	102	"If the internet is the best thing in your life, you have a serious problem."		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
153	NULL	11	tracking personal finances		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
154	NULL	12	Learn Latin		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
155	NULL	12	Meet Martha Stewart		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
156	NULL	13	Pole dancing		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
157	NULL	13	Hunting deer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
158	NULL	12	Relax in a Sensory Deprivation Tank		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
159	NULL	12	Drink a Glass of Red Wine in Chile		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
160	NULL	12	Create My Own Drink		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	101	0
161	NULL	12	Go Volcano Boarding		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
162	NULL	12	Have a Completely Natural Labor and Childbirth		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
163	NULL	102	Show up.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
164	NULL	12	Collect a Coin From Every Country I Visit		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
165	NULL	13	Host a regular dinner party		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
166	NULL	12	Hike a Volcano		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
167	NULL	12	"Tell a totally inoffensive, hilarious joke"		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
168	NULL	12	Vacation W/My Wife Annually on Our Anniversary for the Rest of Our Lives		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
169	NULL	12	Write handwritten letters to 15 people telling them how important they are to me		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
170	NULL	11	tennis coach		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
171	NULL	12	Leave an in heritance for My Children & My Children s Children		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
172	NULL	12	Do a Handstand		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
173	NULL	11	musician instrumental		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
174	NULL	11	cooperative: work well with others.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
175	NULL	11	orienteering 		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
176	NULL	11	select good produce		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
177	NULL	12	Walk the Red Carpet		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
178	NULL	12	Receive a Fan Letter		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
179	NULL	12	Go to the Us Open		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
180	NULL	13	Seashell collecting		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
181	NULL	12	Read a New York Times Best Seller		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
182	NULL	12	Become a Mother		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
183	NULL	12	Send Flowers to Myself		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
184	NULL	11	first aid		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
185	NULL	12	Have a Food Fight		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
186	NULL	12	Become a photographer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
187	NULL	12	Learning / Education		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
188	NULL	12	Learn Something That Shakes Your Foundation.		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
189	NULL	13	Dodgeball		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
190	NULL	12	Make a Rainbow Cake		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
191	NULL	11	civil engineer		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
192	NULL	12	Build a Giant Sand Castle		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
193	NULL	102	"To stay healthy always, take the stairs"		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
194	NULL	12	Attend a Harlem Globetrotters Game		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
195	NULL	11	resourceful		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
196	NULL	12	Ask Someone You Have Only Just Met Out on a Date		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
197	NULL	13	Salsa dancing		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	10005	0
198	NULL	11	wise		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
199	NULL	11	home maintenance		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
200	NULL	13	Vintage car		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
201	NULL	12	Collect Sand From 5 Countries		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
202	NULL	11	aggressive		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
203	NULL	12	Do the Red Paperclip Challenge		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
